scenario,strategy,run_id,time_ns,date,equity_usdt,starting_equity_usdt,net_pnl_usdt,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,daily_return,capital_deployed_usdt,capital_utilization,gross_exposure_usdt,collateral_usdt,free_cash_usdt,debt_usdt,balance_residual_usdt,partial_day,maintenance_usdt,maintenance_to_balance_max,active_margin_positions,margin_reason
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787356799999999999,2026-08-21,11670.13367413780533096159999,11669.80235198627027679679999,0.33132215153505416480000,372.269283480000000000000000,-373.181003100420000000000000000,1.2430417719550541648,0E-10,0,0E-26,0E-24,372.269283480000000000000000,0E-24,-373.181003100420000000000000000,0E-27,0.0000283914107147376964427324960345622835273700055,9086.763596480539751586426695,0.77863406283149313537674200440818791456581257768888,10423.0961697222500000,3874.666549570039751586426695,20.16300568915218930480000000,0E-27,-2.520E-24,False,27.605102298276375,0.004476847611221481681187870009,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787443199999999999,2026-08-22,11671.66322237069105396159999,11670.13367413780533096159999,1.52954823288572300000000,-138.398215352000000000000000,138.392404091190000000000000000,1.5353594936957230000,0E-10,0,0E-26,0E-24,-138.398215352000000000000000,0E-24,138.392404091190000000000000000,0E-27,0.0001310651853350537310012786301803334213946861576,8948.365381128539751586426695,0.76667439855337015229904498889107167979735383752750,10146.3055502790600000,3874.666549570039751586426695,21.69836518284791230480000000,0E-27,-2.520E-24,False,26.803184924457240,0.004331563201614373151361285077,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787529599999999999,2026-08-23,11673.06706274219564596159999,11671.66322237069105396159999,1.40384037150459200000000,61.971183029500000000000000,-62.083195092710000000000000000,1.5158524347145920000,0E-10,0,0E-26,0E-24,61.971183029500000000000000,0E-24,-62.083195092710000000000000000,0E-27,0.0001202776626397082438426142580731870378087971457,9010.336564158039751586426695,0.77189109903403256390260028355957123878107523330740,10270.3599284012700000,3874.666549570039751586426695,23.21421761756250430480000000,0E-27,-2.520E-24,False,27.157150217757455,0.004404706801036957070364267716,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787615999999999999,2026-08-24,11676.94604762707809396159999,11673.06706274219564596159999,3.87898488488244800000000,59.739281679500000000000000,-57.405086186730000000000000000,1.5447893921124480000,0E-10,0,0E-26,0E-24,59.739281679500000000000000,0E-24,-57.405086186730000000000000000,0E-27,0.0003323021159762968571882745719094104669468504730,9070.075845837539751586426695,0.77675068539695004144471413294048059676727204193849,10387.5042962675000000,3874.666549570039751586426695,24.75900700967495230480000000,0E-27,-2.520E-24,False,27.434777500000000,0.004549298405020853285653613672,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787702399999999999,2026-08-25,11677.14094831085430934659999,11676.94604762707809396159999,0.19490068377621538500000,-57.149250674000000000000000,56.063031592240000000000000000,1.2811197655362153850,0E-10,0,0E-26,0E-24,-57.149250674000000000000000,0E-24,56.063031592240000000000000000,0E-27,0.0000166910665666578105403824714048705902521802617,9012.926595163539751586426695,0.77184360752854456681895596395046884931638007892136,10274.2920140012600000,3874.666549570039751586426695,26.04012677521116768980000000,0E-27,-2.520E-24,False,27.105084623636040,0.004496166677697593987599811966,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787788799999999999,2026-08-26,11676.78789512681391612579999,11677.14094831085430934659999,-0.35305318404039322080000,83.861352853500000000000000,-85.278474362770000000000000000,1.0640683252296067792,0E-10,0,0E-26,0E-24,83.861352853500000000000000,0E-24,-85.278474362770000000000000000,0E-27,-0.00003023455703782215564754758921270216715735160413,9096.787948017039751586426695,0.77904883001373088815527918024905015931067598232629,10443.4318412175300000,3874.666549570039751586426695,27.10419510044077446900000000,0E-27,-2.520E-24,False,27.618472363765245,0.004558865604845706820155494147,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787875199999999999,2026-08-27,11679.55414473863656596279999,11676.78789512681391612579999,2.76624961182264983700000,45.564864215000000000000000,-43.796157229470000000000000000,0.9975426262926498370,0E-10,0,0E-26,0E-24,45.564864215000000000000000,0E-24,-43.796157229470000000000000000,0E-27,0.0002369015894325797735754476615290871068270321044,9142.352812232039751586426695,0.78276556612826302780034609714023145771836067173446,10532.7928626620000000,3874.666549570039751586426695,28.10173772673342430600000000,0E-27,-2.520E-24,False,27.805728900000000,0.004711914992387029138470670132,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1787961599999999999,2026-08-28,11680.04414155269960087729999,11679.55414473863656596279999,0.48999681406303491450000,-151.097187016000000000000000,150.813701449280000000000000000,0.7734823807830349145,0E-10,0,0E-26,0E-24,-151.097187016000000000000000,0E-24,150.813701449280000000000000000,0E-27,0.0000419533834931333326918914600003933292993392884,8991.255625216039751586426695,0.76979637373363361530356519037889932297424327921195,10230.8819741967200000,3874.666549570039751586426695,28.87522010751645922050000000,0E-27,-2.520E-24,False,27.018756594202880,0.004413367540148432345875383982,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1788047999999999999,2026-08-29,11680.90423405509267473229999,11680.04414155269960087729999,0.86009250239307385500000,28.612909140000000000000000,-28.773905333440000000000000000,1.0210886958330738550,0E-10,0,0E-26,0E-24,28.612909140000000000000000,0E-24,-28.773905333440000000000000000,0E-27,0.0000736377784167120883708304277695001255512258374,9019.868534356039751586426695,0.77218923754712958817760477446517744853111192452493,10288.2687886701600000,3874.666549570039751586426695,29.89630880334953307550000000,0E-27,-2.520E-24,False,27.173250965536640,0.004462173912716697339516850006,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1788134399999999999,2026-08-30,11682.59451206120930067169999,11680.90423405509267473229999,1.69027800611662593940000,-59.873473626500000000000000,60.661003884160000000000000000,0.9027477484566259394,0E-10,0,0E-26,0E-24,-59.873473626500000000000000,0E-24,60.661003884160000000000000000,0E-27,0.0001447043800931699161514748776843430571077585569,8959.995060729539751586426695,0.76695249941947100298781203494587953206341532073223,10167.7343111595000000,3874.666549570039751586426695,30.79905655180615901490000000,0E-27,-2.520E-24,False,26.823805700000000,0.004395040339320107611619878938,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1788220799999999999,2026-08-31,11683.38048945462628528569999,11682.59451206120930067169999,0.78597739341698461400000,81.204635656500000000000000,-81.458749995750000000000000000,1.0400917326669846140,0E-10,0,0E-26,0E-24,81.204635656500000000000000,0E-24,-81.458749995750000000000000000,0E-27,0.0000672776404766539582415305483332532037489249903,9041.199696386039751586426695,0.77385134418472387984353866423675996615915050322652,10330.3976968117500000,3874.666549570039751586426695,31.83914828447314362890000000,0E-27,-2.520E-24,False,27.282879574972375,0.004500909772331223567256012178,2,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,1641081599999999999,2022-01-01,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,1641167999999999999,2022-01-02,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,1641254399999999999,2022-01-03,10000,10000,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0,0E-8,0E-8,0E-8,0,10000,0,0E-8,False,0,,0,no active short
