scenario,comparator,strategy,period,run_id,comparator_run_id,metric,value,comparator_value,delta,reason
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,unhedged_seconds,20002440.000,20002440.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,covered_seconds,10381680.000,10381680.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,both_covered_seconds,4261920.000,4261920.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,cash_seconds,32688180.000,32688180.000,0.000,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,calendar_seconds,63072000,63072000,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,invested_fraction,0.4817323059360730593607305936,0.4817323059360730593607305936,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_daily_mean_usdt,4.113869596876340335616438356,4.113869596876340335616438356,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_daily_max_usdt,35.425191432213190,35.425191432213190,0E-15,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2022-2023,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,maintenance_ratio_daily_max,0.02321153030002510659919636475,0.02321153030002510659919636475,0E-29,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,starting_equity_usdt,10217.44071106276812412970000,10217.44071106276812412970000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,final_equity_usdt,10785.76304964716593690000000,10785.76304964716593690000000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_pnl_usdt,568.32233858439781277030000,568.32233858439781277030000,0E-23,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,net_return,0.055622768426642889470764155,0.055622768426642889470764155,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,cagr,0.020492334276123285,0.020492334276123285,0E-18,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,sharpe,6.181079222662197,6.181079222662197,0E-15,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,annual_volatility,0.0032827820497003694,0.0032827820497003694,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown,-0.0020616558706701528492637308,-0.0020616558706701528492637308,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,max_drawdown_days,493,493,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_pnl_usdt,925.614376714400000000000000,925.614376714400000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_pnl_usdt,-920.1768916280200000000000013,-920.1768916280200000000000013,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,funding_usdt,650.0746270154178127703,650.0746270154178127703,0E-19,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,fees_usdt,-87.1897735174,-87.1897735174,0E-10,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,liquidation_fees_usdt,0,0,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,slippage_informational_usdt,11.75733580774897931656312986,11.75733580774897931656312986,0E-26,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_realized_pnl_usdt,1590.567204386400316102804061,1590.567204386400316102804061,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,spot_unrealized_pnl_usdt,-664.952827672000316102804061,-664.952827672000316102804061,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_realized_pnl_usdt,-1580.595140000000000000000000,-1580.595140000000000000000000,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,futures_unrealized_pnl_usdt,660.4182483719800000000000000,660.4182483719800000000000000,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,reconciliation_residual_usdt,1.3E-24,1.3E-24,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_deployed_usdt_daily_mean,2841.782893624725651580873451,2841.782893624725651580873451,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_deployed_usdt_daily_max,10811.783139323008315565031983,10811.783139323008315565031983,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_utilization_daily_mean,0.2684063607141262453973630015,0.2684063607141262453973630015,0E-28,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,capital_utilization_daily_max,1.0274044222483662865705574630022333774275912665613,1.0274044222483662865705574630022333774275912665613,0E-49,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_mean,3719.437226954995975359342916,3719.437226954995975359342916,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,gross_exposure_usdt_daily_max,14684.3520215261000000,14684.3520215261000000,0E-16,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_mean,981.6894253391979308416537153,981.6894253391979308416537153,0E-25,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,collateral_usdt_daily_max,3544.742637206845047924596894,3544.742637206845047924596894,0E-24,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_mean,0E-27,0E-27,0E-27,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,debt_usdt_daily_max,0E-26,0E-26,0E-26,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,orders_submitted,108,108,0,
BTC_PROMO_REALIZADA,BASE_E3,conditional,2024+,run_1ae1cf88ac71b976740edc03,run_ad71d751b20623006c195ff3,failed_attempts,2,2,0,
