scenario,strategy,run_id,period,symbol,invested_seconds,unhedged_seconds,covered_seconds,cash_seconds,calendar_seconds,invested_fraction,both_covered_seconds
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,BTCUSDT,88415820.000,64436880.000,23978940.000,58809780.000,147225600,0.6005465082159624413145539906,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,ETHUSDT,114537420.000,74060400.000,40477020.000,32688180.000,147225600,0.7779721733176838810641627543,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,full,PORTFOLIO,114537420.000,85644240.000,41682240.000,32688180.000,147225600,0.7779721733176838810641627543,22773720.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,BTCUSDT,4262220.000,240.000,4261980.000,58809780.000,63072000,0.06757705479452054794520547945,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,ETHUSDT,30383820.000,20002200.000,10381620.000,32688180.000,63072000,0.4817323059360730593607305936,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022-2023,PORTFOLIO,30383820.000,20002440.000,10381680.000,32688180.000,63072000,0.4817323059360730593607305936,4261920.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,BTCUSDT,84153600.000,64436640.000,19716960.000,0.000,84153600,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,ETHUSDT,84153600.000,54058200.000,30095400.000,0.000,84153600,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024+,PORTFOLIO,84153600.000,65641800.000,31300560.000,0.000,84153600,1.000,18511800.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,BTCUSDT,0,0,0,31536000,31536000,0,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,ETHUSDT,0,0,0,31536000,31536000,0,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2022,PORTFOLIO,0,0,0,31536000,31536000,0,0
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,BTCUSDT,4262220.000,240.000,4261980.000,27273780.000,31536000,0.1351541095890410958904109589,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,ETHUSDT,30383820.000,20002200.000,10381620.000,1152180.000,31536000,0.9634646118721461187214611872,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2023,PORTFOLIO,30383820.000,20002440.000,10381680.000,1152180.000,31536000,0.9634646118721461187214611872,4261920.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,BTCUSDT,31622400.000,11905440.000,19716960.000,0.000,31622400,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,ETHUSDT,31622400.000,11635440.000,19986960.000,0.000,31622400,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2024,PORTFOLIO,31622400.000,13110600.000,21192120.000,0.000,31622400,1.000,18511800.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,BTCUSDT,31536000.000,31536000.000,0.000,0.000,31536000,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,ETHUSDT,31536000.000,21427560.000,10108440.000,0.000,31536000,1.000,
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2025,PORTFOLIO,31536000.000,31536000.000,10108440.000,0.000,31536000,1.000,0.000
FUT4_REALIZADA,conditional,run_d17c6848d9a0c5c85249b152,2026,BTCUSDT,20995200,20995200,0,0,20995200,1,
