symbol,year,funding_time,funding_time_utc,funding_rate,rate_available_at,interval_hours,price_method,official_price,previous_closed_mark_price,saved_price,relative_error_bps,mark_open_time,mark_close_time,mark_available_at,mark_age_milliseconds,mark_estimation_method,mark_anchor_open_time,mark_source_file,funding_source_file
ETHUSDT,2022,1656604800000000000,2022-06-30T16:00:00.000000000Z,-0.00021692,1656604860000000000,8,previous_closed_1m,,1031.40000000,1031.40000000,,1656604740000000000,1656604799999000000,1656604800000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656633600001000000,2022-07-01T00:00:00.001000000Z,-0.00013323,1656633660001000000,8.000000277777777777777777778,previous_closed_1m,,1071.16000000,1071.16000000,,1656633540000000000,1656633599999000000,1656633600000000000,2,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656662400017000000,2022-07-01T08:00:00.017000000Z,0.00004122,1656662460017000000,8.000004444444444444444444444,previous_closed_1m,,1066.34943056,1066.34943056,,1656662340000000000,1656662399999000000,1656662400000000000,18,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656691200005000000,2022-07-01T16:00:00.005000000Z,-0.00009037,1656691260005000000,7.999996666666666666666666667,previous_closed_1m,,1056.50687056,1056.50687056,,1656691140000000000,1656691199999000000,1656691200000000000,6,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656720000000000000,2022-07-02T00:00:00.000000000Z,-0.00000450,1656720060000000000,7.999998611111111111111111111,previous_closed_1m,,1058.83000000,1058.83000000,,1656719940000000000,1656719999999000000,1656720000000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656748800000000000,2022-07-02T08:00:00.000000000Z,-0.00004376,1656748860000000000,8,previous_closed_1m,,1041.54664347,1041.54664347,,1656748740000000000,1656748799999000000,1656748800000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656777600008000000,2022-07-02T16:00:00.008000000Z,-0.00004429,1656777660008000000,8.000002222222222222222222222,previous_closed_1m,,1052.06000000,1052.06000000,,1656777540000000000,1656777599999000000,1656777600000000000,9,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656806400015000000,2022-07-03T00:00:00.015000000Z,0.00008102,1656806460015000000,8.000001944444444444444444444,previous_closed_1m,,1066.53000000,1066.53000000,,1656806340000000000,1656806399999000000,1656806400000000000,16,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656835200004000000,2022-07-03T08:00:00.004000000Z,0.00002344,1656835260004000000,7.999996944444444444444444444,previous_closed_1m,,1063.25719486,1063.25719486,,1656835140000000000,1656835199999000000,1656835200000000000,5,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656864000005000000,2022-07-03T16:00:00.005000000Z,-0.00009636,1656864060005000000,8.000000277777777777777777778,previous_closed_1m,,1050.09061930,1050.09061930,,1656863940000000000,1656863999999000000,1656864000000000000,6,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656892800021000000,2022-07-04T00:00:00.021000000Z,0.00008487,1656892860021000000,8.000004444444444444444444444,previous_closed_1m,,1073.91000000,1073.91000000,,1656892740000000000,1656892799999000000,1656892800000000000,22,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656921600001000000,2022-07-04T08:00:00.001000000Z,-0.00014236,1656921660001000000,7.999994444444444444444444444,previous_closed_1m,,1050.12207954,1050.12207954,,1656921540000000000,1656921599999000000,1656921600000000000,2,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656950400000000000,2022-07-04T16:00:00.000000000Z,0.00006349,1656950460000000000,7.999999722222222222222222222,previous_closed_1m,,1111.46482628,1111.46482628,,1656950340000000000,1656950399999000000,1656950400000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656979200000000000,2022-07-05T00:00:00.000000000Z,0.00000823,1656979260000000000,8,previous_closed_1m,,1149.93000000,1149.93000000,,1656979140000000000,1656979199999000000,1656979200000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1657008000000000000,2022-07-05T08:00:00.000000000Z,0.00001762,1657008060000000000,8,previous_closed_1m,,1157.66000000,1157.66000000,,1657007940000000000,1657007999999000000,1657008000000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1657036800015000000,2022-07-05T16:00:00.015000000Z,0.00004280,1657036860015000000,8.000004166666666666666666667,previous_closed_1m,,1092.49961007,1092.49961007,,1657036740000000000,1657036799999000000,1657036800000000000,16,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1657065600006000000,2022-07-06T00:00:00.006000000Z,0.00010000,1657065660006000000,7.9999975,previous_closed_1m,,1132.55328385,1132.55328385,,1657065540000000000,1657065599999000000,1657065600000000000,7,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1657094400000000000,2022-07-06T08:00:00.000000000Z,0.00010000,1657094460000000000,7.999998333333333333333333333,previous_closed_1m,,1139.11000000,1139.11000000,,1657094340000000000,1657094399999000000,1657094400000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1657123200000000000,2022-07-06T16:00:00.000000000Z,0.00004373,1657123260000000000,8,previous_closed_1m,,1132.93000000,1132.93000000,,1657123140000000000,1657123199999000000,1657123200000000000,1,official,,ETHUSDT-1m-2022-07.zip,funding-1638403200000-1788220799999.json
