time_ns,date,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,net_pnl_usdt,strategy,source_run_id
1718668799999999999,2024-06-17,ETHUSDT,-101.538562035000000000000000,101.641273256970000000000000,0.9446008982377730000,0E-9,0,0E-27,1.047312120207773000000000,conditional,run_ad71d751b20623006c195ff3
1718755199999999999,2024-06-18,BTCUSDT,-60.377050129200000000000000,60.472499361750000000000000,0.8334662570387100000,0E-10,0,0E-27,0.928915489588710000000000,conditional,run_ad71d751b20623006c195ff3
1718755199999999999,2024-06-18,ETHUSDT,-25.418805570000000000000000,24.853060017360000000000000,0.6520139261820351953,0E-9,0,0E-27,0.086268373542035195300000,conditional,run_ad71d751b20623006c195ff3
1718841599999999999,2024-06-19,BTCUSDT,-8.429497682400000000000000,8.427492446850000000000000,0.5149432504298210544,-0.2930466000,0,0.039383187129774104063732220,0.219891414879821054400000,conditional,run_ad71d751b20623006c195ff3
1718841599999999999,2024-06-19,ETHUSDT,69.569175388000000000000000,-69.121276111980000000000000,0.8367767740458000000,0E-9,0,0E-27,1.284676050065800000000000,conditional,run_ad71d751b20623006c195ff3
1718927999999999999,2024-06-20,BTCUSDT,-6.564655032500000000000000,6.321600000000000000000000,0.5247162806450674656,0E-10,0,0E-27,0.281661248145067465600000,conditional,run_ad71d751b20623006c195ff3
1718927999999999999,2024-06-20,ETHUSDT,-43.640171570000000000000000,43.871420388020000000000000,0.6353086452239208696,0E-9,0,0E-27,0.866557463243920869600000,conditional,run_ad71d751b20623006c195ff3
1719014399999999999,2024-06-21,BTCUSDT,-35.345446829100000000000000,35.481600000000000000000000,0.6356680051200000000,0E-10,0,0E-27,0.771821176020000000000000,conditional,run_ad71d751b20623006c195ff3
1719014399999999999,2024-06-21,ETHUSDT,4.673780379000000000000000,-4.844180388020000000000000,0.4084787033165201236,0E-9,0,0E-27,0.238078694296520123600000,conditional,run_ad71d751b20623006c195ff3
1719100799999999999,2024-06-22,BTCUSDT,7.975995858500000000000000,-8.075673872160000000000000,0.7446963136632960000,0E-10,0,0E-27,0.645018300003296000000000,conditional,run_ad71d751b20623006c195ff3
1719100799999999999,2024-06-22,ETHUSDT,-19.852178257000000000000000,20.023780000000000000000000,0.4569148880383000000,0E-9,0,0E-27,0.628516631038300000000000,conditional,run_ad71d751b20623006c195ff3
1719187199999999999,2024-06-23,BTCUSDT,-51.295038306600000000000000,51.374374467840000000000000,0.5234748697831680000,0E-10,0,0E-27,0.602811031023168000000000,conditional,run_ad71d751b20623006c195ff3
1719187199999999999,2024-06-23,ETHUSDT,-68.530557526000000000000000,68.370108301650000000000000,0.4741543342545976234,0E-9,0,0E-27,0.313705109904597623400000,conditional,run_ad71d751b20623006c195ff3
1719273599999999999,2024-06-24,BTCUSDT,-139.694418947900000000000000,139.859699404320000000000000,0.8074954807680000000,0E-10,0,0E-27,0.972775937188000000000000,conditional,run_ad71d751b20623006c195ff3
1719273599999999999,2024-06-24,ETHUSDT,-63.118811824000000000000000,62.470182439670000000000000,0.7671310490032344472,0E-9,0,0E-27,0.118501664673234447200000,conditional,run_ad71d751b20623006c195ff3
1719359999999999999,2024-06-25,BTCUSDT,73.158819912100000000000000,-72.897044085120000000000000,0.6185331103200000000,0E-10,0,0E-27,0.880308937300000000000000,conditional,run_ad71d751b20623006c195ff3
1719359999999999999,2024-06-25,ETHUSDT,39.813684710000000000000000,-39.007142784290000000000000,0.9229354872042970000,0E-9,0,0E-27,1.729477412914297000000000,conditional,run_ad71d751b20623006c195ff3
1719446399999999999,2024-06-26,BTCUSDT,-48.959621870000000000000000,47.512630301160000000000000,0.9245865224085120000,-0.2778473400,0,0.037078861252483968471852750,-0.800252386431488000000000,conditional,run_ad71d751b20623006c195ff3
1719446399999999999,2024-06-26,ETHUSDT,-21.546765295000000000000000,20.396986327260000000000000,0.9250815795957030000,0E-9,0,0E-27,-0.224697388144297000000000,conditional,run_ad71d751b20623006c195ff3
1719532799999999999,2024-06-27,BTCUSDT,43.170975163400000000000000,-41.964120024330000000000000,0.9344130274723350000,0E-10,0,0E-27,2.141268166542335000000000,conditional,run_ad71d751b20623006c195ff3
