period,symbol,scope,filter,state,applied,count,denominator,strategy,source_run_id
2024-2026-08,BTCUSDT,simultaneous,cooldown,pass,True,2910,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,coverage,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,debt,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,forecast,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,freshness,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,funding,fail,True,2743,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,funding,pass,True,179,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,mark,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,operational,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,pending_orders,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,price_alignment,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,rules,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,sizing,fail,True,260,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,sizing,pass,True,2662,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,state_active,fail,True,683,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,BTCUSDT,simultaneous,state_active,pass,True,2239,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,actual_decision,accepted,selected,True,3,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,actual_decision,funding_not_above_cost,selected,True,1865,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,actual_decision,state_or_cooldown,selected,True,1054,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,first_rejection,all_pass,selected,True,3,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,first_rejection,cooldown,selected,True,9,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,first_rejection,funding,selected,True,1865,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,first_rejection,state_active,selected,True,1045,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,basis_above_max,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,basis_negative,fail,True,2494,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,basis_negative,pass,True,428,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,budget,fail,True,11,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,budget,not_evaluable,True,43,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,budget,pass,True,2868,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,cooldown,fail,True,9,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,cooldown,pass,True,2913,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,coverage,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,debt,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,forecast,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,freshness,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,funding,fail,True,2727,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,funding,pass,True,195,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,mark,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,operational,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,pending_orders,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,price_alignment,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,rules,pass,True,2922,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,sizing,fail,True,43,2922,conditional,run_ad71d751b20623006c195ff3
2024-2026-08,ETHUSDT,simultaneous,sizing,pass,True,2879,2922,conditional,run_ad71d751b20623006c195ff3
