symbol,time_ns,signal_utc,anchor,history_start,horizon_end,horizon_end_utc,forecast,no_change,realized,horizon_valid,realized_funding_events,reason,error_ewma,error_no_change,absolute_error_ewma,absolute_error_no_change
ETHUSDT,1717257660001000000,2024-06-01T16:01:00.001000000Z,1717257600001000000,1716048000000000000,1717862460001000000,2024-06-08T16:01:00.001000000Z,0.002838033430576074498005290383,0.002426969915730211259367664605,0.00276583,True,21,,0.000072203430576074498005290383,-0.000338860084269788740632335395,0.000072203430576074498005290383,0.000338860084269788740632335395
BTCUSDT,1717286460000000000,2024-06-02T00:01:00.000000000Z,1717286400000000000,1716076800000000000,1717891260000000000,2024-06-09T00:01:00.000000000Z,0.002200343137707939778045790790,0.002100000072916669198495458281,0.00228130,True,21,,-0.000080956862292060221954209210,-0.000181299927083330801504541719,0.000080956862292060221954209210,0.000181299927083330801504541719
ETHUSDT,1717286460000000000,2024-06-02T00:01:00.000000000Z,1717286400000000000,1716076800000000000,1717891260000000000,2024-06-09T00:01:00.000000000Z,0.002932523365209466665829437700,0.003295950114442712307038621772,0.00270888,True,21,,0.000223643365209466665829437700,0.000587070114442712307038621772,0.000223643365209466665829437700,0.000587070114442712307038621772
BTCUSDT,1717315260000000000,2024-06-02T08:01:00.000000000Z,1717315200000000000,1716105600000000000,1717920060000000000,2024-06-09T08:01:00.000000000Z,0.002179655067758485450875141464,0.00210000,0.00228130,True,21,,-0.000101644932241514549124858536,-0.00018130,0.000101644932241514549124858536,0.00018130
ETHUSDT,1717315260000000000,2024-06-02T08:01:00.000000000Z,1717315200000000000,1716105600000000000,1717920060000000000,2024-06-09T08:01:00.000000000Z,0.002760791550886062187305666637,0.00210000,0.00270888,True,21,,0.000051911550886062187305666637,-0.00060888,0.000051911550886062187305666637,0.00060888
BTCUSDT,1717344060000000000,2024-06-02T16:01:00.000000000Z,1717344000000000000,1716134400000000000,1717948860000000000,2024-06-09T16:01:00.000000000Z,0.002163236075487180720735526594,0.00210000,0.00228130,True,21,,-0.000118063924512819279264473406,-0.00018130,0.000118063924512819279264473406,0.00018130
ETHUSDT,1717344060000000000,2024-06-02T16:01:00.000000000Z,1717344000000000000,1716134400000000000,1717948860000000000,2024-06-09T16:01:00.000000000Z,0.002624473708636254429495392543,0.00210000,0.00270888,True,21,,-0.000084406291363745570504607457,-0.00060888,0.000084406291363745570504607457,0.00060888
BTCUSDT,1717372860000000000,2024-06-03T00:01:00.000000000Z,1717372800000000000,1716163200000000000,1717977660000000000,2024-06-10T00:01:00.000000000Z,0.002150202123138748931769772143,0.00210000,0.00228130,True,21,,-0.000131097876861251068230227857,-0.00018130,0.000131097876861251068230227857,0.00018130
ETHUSDT,1717372860000000000,2024-06-03T00:01:00.000000000Z,1717372800000000000,1716163200000000000,1717977660000000000,2024-06-10T00:01:00.000000000Z,0.002633341518429934729604002297,0.00266742,0.00268186,True,21,,-0.000048518481570065270395997703,-0.00001444,0.000048518481570065270395997703,0.00001444
BTCUSDT,1717401660000000000,2024-06-03T08:01:00.000000000Z,1717401600000000000,1716192000000000000,1718006460000000000,2024-06-10T08:01:00.000000000Z,0.002319016422716146586289193733,0.00296835,0.00223995,True,21,,0.000079066422716146586289193733,0.00072840,0.000079066422716146586289193733,0.00072840
ETHUSDT,1717401660000000000,2024-06-03T08:01:00.000000000Z,1717401600000000000,1716192000000000000,1718006460000000000,2024-06-10T08:01:00.000000000Z,0.002774752894252176981245389395,0.00331863,0.00262383,True,21,,0.000150922894252176981245389395,0.00069480,0.000150922894252176981245389395,0.00069480
BTCUSDT,1717430460000000000,2024-06-03T16:01:00.000000000Z,1717430400000000000,1716192000000000000,1718035260000000000,2024-06-10T16:01:00.000000000Z,0.002273831260972927767472109522,0.00210000,0.00223995,True,21,,0.000033881260972927767472109522,-0.00013995,0.000033881260972927767472109522,0.00013995
ETHUSDT,1717430460000000000,2024-06-03T16:01:00.000000000Z,1717430400000000000,1716192000000000000,1718035260000000000,2024-06-10T16:01:00.000000000Z,0.002757504825581629115590981847,0.00269115,0.00259568,True,21,,0.000161824825581629115590981847,0.00009547,0.000161824825581629115590981847,0.00009547
BTCUSDT,1717459260000000000,2024-06-04T00:01:00.000000000Z,1717459200000000000,1716249600000000000,1718064060000000000,2024-06-11T00:01:00.000000000Z,0.002324985004953801609732105442,0.00252168,0.00221987,True,21,,0.000105115004953801609732105442,0.00030181,0.000105115004953801609732105442,0.00030181
ETHUSDT,1717459260000000000,2024-06-04T00:01:00.000000000Z,1717459200000000000,1716249600000000000,1718064060000000000,2024-06-11T00:01:00.000000000Z,0.002621879740851243172557618360,0.00210000,0.00259568,True,21,,0.000026199740851243172557618360,-0.00049568,0.000026199740851243172557618360,0.00049568
BTCUSDT,1717488060000000000,2024-06-04T08:01:00.000000000Z,1717488000000000000,1716249600000000000,1718092860000000000,2024-06-11T08:01:00.000000000Z,0.002278568468182942107344349587,0.00210000,0.00221987,True,21,,0.000058698468182942107344349587,-0.00011987,0.000058698468182942107344349587,0.00011987
ETHUSDT,1717488060000000000,2024-06-04T08:01:00.000000000Z,1717488000000000000,1716249600000000000,1718092860000000000,2024-06-11T08:01:00.000000000Z,0.002514211008945476924718803071,0.00210000,0.00259568,True,21,,-0.000081468991054523075281196929,-0.00049568,0.000081468991054523075281196929,0.00049568
BTCUSDT,1717516860000000000,2024-06-04T16:01:00.000000000Z,1717516800000000000,1716307200000000000,1718121660000000000,2024-06-11T16:01:00.000000000Z,0.002241730586719898549200617771,0.00210000,0.00221987,True,21,,0.000021860586719898549200617771,-0.00011987,0.000021860586719898549200617771,0.00011987
ETHUSDT,1717516860000000000,2024-06-04T16:01:00.000000000Z,1717516800000000000,1716307200000000000,1718121660000000000,2024-06-11T16:01:00.000000000Z,0.002463404325089223242725652048,0.00226800,0.00258768,True,21,,-0.000124275674910776757274347952,-0.00031968,0.000124275674910776757274347952,0.00031968
BTCUSDT,1717545660000000000,2024-06-05T00:01:00.000000000Z,1717545600000000000,1716336000000000000,1718150460000000000,2024-06-12T00:01:00.000000000Z,0.002212491641226971313654622801,0.00210000,0.00221987,True,21,,-0.000007378358773028686345377199,-0.00011987,0.000007378358773028686345377199,0.00011987
ETHUSDT,1717545660000000000,2024-06-05T00:01:00.000000000Z,1717545600000000000,1716336000000000000,1718150460000000000,2024-06-12T00:01:00.000000000Z,0.002690363365868536516376039173,0.00356349,0.00251799,True,21,,0.000172373365868536516376039173,0.00104550,0.000172373365868536516376039173,0.00104550
BTCUSDT,1717574460000000000,2024-06-05T08:01:00.000000000Z,1717574400000000000,1716364800000000000,1718179260000000000,2024-06-12T08:01:00.000000000Z,0.002465989630999522178308949616,0.00344127,0.00215600,True,21,,0.000309989630999522178308949616,0.00128527,0.000309989630999522178308949616,0.00128527
ETHUSDT,1717574460000000000,2024-06-05T08:01:00.000000000Z,1717574400000000000,1716364800000000000,1718179260000000000,2024-06-12T08:01:00.000000000Z,0.002568557992317839103090578344,0.00210000,0.00251799,True,21,,0.000050567992317839103090578344,-0.00041799,0.000050567992317839103090578344,0.00041799
BTCUSDT,1717603260000000000,2024-06-05T16:01:00.000000000Z,1717603200000000000,1716393600000000000,1718208060000000000,2024-06-12T16:01:00.000000000Z,0.002530254335068998862713951403,0.00277746,0.00212374,True,21,,0.000406514335068998862713951403,0.00065372,0.000406514335068998862713951403,0.00065372
ETHUSDT,1717603260000000000,2024-06-05T16:01:00.000000000Z,1717603200000000000,1716393600000000000,1718208060000000000,2024-06-12T16:01:00.000000000Z,0.002500446251811736133052609819,0.00223839,0.00251140,True,21,,-0.000010953748188263866947390181,-0.00027301,0.000010953748188263866947390181,0.00027301
BTCUSDT,1717632060000000000,2024-06-06T00:01:00.000000000Z,1717632000000000000,1716422400000000000,1718236860000000000,2024-06-13T00:01:00.000000000Z,0.002441493092050221088403382994,0.00210000,0.00212374,True,21,,0.000317753092050221088403382994,-0.00002374,0.000317753092050221088403382994,0.00002374
ETHUSDT,1717632060000000000,2024-06-06T00:01:00.000000000Z,1717632000000000000,1716422400000000000,1718236860000000000,2024-06-13T00:01:00.000000000Z,0.002827737277150601232594959056,0.00408681,0.00241679,True,21,,0.000410947277150601232594959056,0.00167002,0.000410947277150601232594959056,0.00167002
BTCUSDT,1717660860008000000,2024-06-06T08:01:00.008000000Z,1717660800008000000,1716451200000000000,1718265660008000000,2024-06-13T08:01:00.008000000Z,0.002390019691046785446957972724,0.002191979391116835800878944200,0.00211936,True,21,,0.000270659691046785446957972724,0.000072619391116835800878944200,0.000270659691046785446957972724,0.000072619391116835800878944200
ETHUSDT,1717660860008000000,2024-06-06T08:01:00.008000000Z,1717660800008000000,1716451200000000000,1718265660008000000,2024-06-13T08:01:00.008000000Z,0.003125071410074017767468889151,0.004268878814200329388797392001,0.00231351,True,21,,0.000811561410074017767468889151,0.001955368814200329388797392001,0.000811561410074017767468889151,0.001955368814200329388797392001
BTCUSDT,1717689660000000000,2024-06-06T16:01:00.000000000Z,1717689600000000000,1716480000000000000,1718294460000000000,2024-06-13T16:01:00.000000000Z,0.002406875113366856863690774464,0.002471700686583524050978903050,0.00210166,True,21,,0.000305215113366856863690774464,0.000370040686583524050978903050,0.000305215113366856863690774464,0.000370040686583524050978903050
ETHUSDT,1717689660000000000,2024-06-06T16:01:00.000000000Z,1717689600000000000,1716480000000000000,1718294460000000000,2024-06-13T16:01:00.000000000Z,0.003129750985194810481623703655,0.003147690874358576210715614088,0.00226362,True,21,,0.000866130985194810481623703655,0.000884070874358576210715614088,0.000866130985194810481623703655,0.000884070874358576210715614088
BTCUSDT,1717718460000000000,2024-06-07T00:01:00.000000000Z,1717718400000000000,1716508800000000000,1718323260000000000,2024-06-14T00:01:00.000000000Z,0.002343566938824365284770882942,0.00210000,0.00210166,True,21,,0.000241906938824365284770882942,-0.00000166,0.000241906938824365284770882942,0.00000166
ETHUSDT,1717718460000000000,2024-06-07T00:01:00.000000000Z,1717718400000000000,1716508800000000000,1718323260000000000,2024-06-14T00:01:00.000000000Z,0.003181816283242781946036231743,0.00338205,0.00220257,True,21,,0.000979246283242781946036231743,0.00117948,0.000979246283242781946036231743,0.00117948
BTCUSDT,1717747260000000000,2024-06-07T08:01:00.000000000Z,1717747200000000000,1716537600000000000,1718352060000000000,2024-06-14T08:01:00.000000000Z,0.002293319207415444664883020021,0.00210000,0.00210166,True,21,,0.000191659207415444664883020021,-0.00000166,0.000191659207415444664883020021,0.00000166
ETHUSDT,1717747260000000000,2024-06-07T08:01:00.000000000Z,1717747200000000000,1716537600000000000,1718352060000000000,2024-06-14T08:01:00.000000000Z,0.003098492976465563278381867879,0.00277788,0.00217029,True,21,,0.000928202976465563278381867879,0.00060759,0.000928202976465563278381867879,0.00060759
BTCUSDT,1717776060000000000,2024-06-07T16:01:00.000000000Z,1717776000000000000,1716566400000000000,1718380860000000000,2024-06-14T16:01:00.000000000Z,0.002260629595218284486263366095,0.00213486,0.00210000,True,21,,0.000160629595218284486263366095,0.00003486,0.000160629595218284486263366095,0.00003486
ETHUSDT,1717776060000000000,2024-06-07T16:01:00.000000000Z,1717776000000000000,1716566400000000000,1718380860000000000,2024-06-14T16:01:00.000000000Z,0.003197039578629499811848000649,0.00357609,0.00210000,True,21,,0.001097039578629499811848000649,0.00147609,0.001097039578629499811848000649,0.00147609
BTCUSDT,1717804860000000000,2024-06-08T00:01:00.000000000Z,1717804800000000000,1716595200000000000,1718409660000000000,2024-06-15T00:01:00.000000000Z,0.002227491794196003242305657467,0.00210000,0.00210000,True,21,,0.000127491794196003242305657467,0E-8,0.000127491794196003242305657467,0E-8
