method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
futures_scaled,permanent,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,1.1900866,1.190,3217.165400087905548690834751,1914.349087983394981649404313,2597.629735338345864661654134,futures_scaled,True,[],persisted_ledger_and_causal_mark,2651.596529035371005644129247,20.09266600284210526315789472,4794.696584877291374629193993,0.007577572901014337875273073169,0.8457967737471921375376497551,False,False
futures_scaled,permanent,BTCUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,0.05900933,0.059,60764.90041320200251575671986,1793.739328493475895084933460,58232.32264116708687299819921,futures_scaled,True,[],persisted_ledger_and_causal_mark,1943.161417043535918007686178,13.74282814331543250202757501,90804.04573017074150034742272,0.007072406863771898768968509566,0.5593409572500413515811028163,False,False
futures_scaled,permanent,ETHUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,1.1900866,1.190,3217.165400087905548690834751,1914.349087983394981649404313,2594.013763909774436090225563,futures_scaled,True,[],persisted_ledger_and_causal_mark,2655.899535035371005644129247,20.06469646384210526315789473,4794.696584877291374629193993,0.007554764854301947695041978035,0.8483697548507154251454354759,False,False
last_official,conditional,BTCUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0,0,0,0,19854.48571219,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0,0,0,0,1071.38000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0,0,0,0,19918.70000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0,0,0,0,1074.65000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0,0,0,0,19906,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0,0,0,0,1075.28000000,last_official,True,[],persisted_ledger_and_causal_mark,,,,,,,
last_official,conditional,BTCUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0,0,0,0,19916.30000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
