symbol,time_ns,minute_utc,candle_open_utc,spot_close,future_close,mark_close,spot_base_volume,future_base_volume,forecast,forecast_available_at,cycle_cost,complete,eligible,funding_pass,basis_pass,operational,known_closure,forecast_valid,unknown_market_data
ETHUSDT,1717631940000000000,2024-06-05T23:59:00.000000000Z,2024-06-05T23:58:00.000000000Z,3863.81,3865.99,3865.96722727,56.876,386.215,0.002500446251811736133052609819,1717603260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717632000000000000,2024-06-06T00:00:00.000000000Z,2024-06-05T23:59:00.000000000Z,3865.99,3868.61,3868.00232576,174.2784,990.889,0.002500446251811736133052609819,1717603260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717632060000000000,2024-06-06T00:01:00.000000000Z,2024-06-06T00:00:00.000000000Z,3867.49,3869.94,3869.53110606,120.6108,1042.295,0.002827737277150601232594959056,1717632060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717660920000000000,2024-06-06T08:02:00.000000000Z,2024-06-06T08:01:00.000000000Z,3850.0,3852.21,3852.21,149.294,460.014,0.003125071410074017767468889151,1717660860008000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717675200000000000,2024-06-06T12:00:00.000000000Z,2024-06-06T11:59:00.000000000Z,3849.51,3852.74,3852.74,70.4714,299.102,0.003125071410074017767468889151,1717660860008000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717689660000000000,2024-06-06T16:01:00.000000000Z,2024-06-06T16:00:00.000000000Z,3846.0,3848.55,3848.28214394,110.4142,1545.642,0.003129750985194810481623703655,1717689660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717718340000000000,2024-06-06T23:59:00.000000000Z,2024-06-06T23:58:00.000000000Z,3812.93,3815.11,3815.12,26.1602,335.718,0.003129750985194810481623703655,1717689660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717718400000000000,2024-06-07T00:00:00.000000000Z,2024-06-06T23:59:00.000000000Z,3813.46,3815.76,3815.76,81.7602,411.9,0.003129750985194810481623703655,1717689660000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717718460000000000,2024-06-07T00:01:00.000000000Z,2024-06-07T00:00:00.000000000Z,3812.7,3815.48,3815.32244697,40.8302,545.44,0.003181816283242781946036231743,1717718460000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717747260000000000,2024-06-07T08:01:00.000000000Z,2024-06-07T08:00:00.000000000Z,3816.96,3819.77,3819.58488636,37.5684,266.449,0.003098492976465563278381867879,1717747260000000000,0.0034,True,False,False,True,True,False,True,False
