symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
BTCUSDT,permanent,False,1722038399999999999,2024-07-26T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,621.0728986538915760001,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722038399999999999,2024-07-26T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.5066117071967187943,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722124799999999999,2024-07-27T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,621.8975519738959488631,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722124799999999999,2024-07-27T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,526.9275955348119682943,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722211199999999999,2024-07-28T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,622.5934310768040443101,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722211199999999999,2024-07-28T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,527.9505475348119682943,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722297599999999999,2024-07-29T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,623.4308101228137504841,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722297599999999999,2024-07-29T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,528.9317279999239185443,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722383999999999999,2024-07-30T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,623.9276440136250335725,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722383999999999999,2024-07-30T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,529.9792168493564685443,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722470399999999999,2024-07-31T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,624.4027987408830335725,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722470399999999999,2024-07-31T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,531.0182861878790685443,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722556799999999999,2024-08-01T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,625.3219323088057787437,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722556799999999999,2024-08-01T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,531.8832453045364786193,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722643199999999999,2024-08-02T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,626.3056671290532977437,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722643199999999999,2024-08-02T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,532.5176183406915314993,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722729599999999999,2024-08-03T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,627.0587326168508655181,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722729599999999999,2024-08-03T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,533.0244406913319463643,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722815999999999999,2024-08-04T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,627.8338429799138655181,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722815999999999999,2024-08-04T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,533.4037173757847292293,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1722902399999999999,2024-08-05T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,628.4145276139561305181,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1722902399999999999,2024-08-05T23:59:59.999999999Z,HOLDING,event,1.0500268,1.050,3288.986120099626288516279385,1726.853387983394981649404313,3451.983281542169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,533.1961374949887557393,74.300249698,0,10.11193333411279570996494689,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
