symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
ETHUSDT,permanent,False,1730246460000000000,2024-10-30T00:01:00.000000000Z,transition,entry,FLAT,OPENING_SPOT,permanent-00000640,ETHUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246520000000000,2024-10-30T00:02:00.000000000Z,transition,spot_filled_waiting_hedge,OPENING_SPOT,OPENING_PERP,,BTCUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730246520000000000,2024-10-30T00:02:00.000000000Z,attempt_failed,timeout,,,permanent-00000640,,,,,open_spot,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730246520000000000,2024-10-30T00:02:00.000000000Z,close_requested,opening_or_second_leg_failed,,,,,,False,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730246520000000000,2024-10-30T00:02:00.000000000Z,transition,opening_or_second_leg_failed,OPENING_SPOT,CLOSING_SPOT,,ETHUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730246580000000000,2024-10-30T00:03:00.000000000Z,transition,unwind_complete,CLOSING_SPOT,COOLDOWN,,ETHUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246580000000000,2024-10-30T00:03:00.000000000Z,attempt_failed,timeout,,,permanent-00000641,,,,,open_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246580000000000,2024-10-30T00:03:00.000000000Z,close_requested,opening_or_second_leg_failed,,,,,,False,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246580000000000,2024-10-30T00:03:00.000000000Z,transition,opening_or_second_leg_failed,OPENING_PERP,CLOSING_SPOT,,BTCUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730246640000000000,2024-10-30T00:04:00.000000000Z,transition,unwind_complete,CLOSING_SPOT,COOLDOWN,,BTCUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730361660000000000,2024-10-31T08:01:00.000000000Z,transition,cooldown_elapsed,COOLDOWN,FLAT,,BTCUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730361660000000000,2024-10-31T08:01:00.000000000Z,transition,entry,FLAT,OPENING_SPOT,permanent-00000644,BTCUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730361660000000000,2024-10-31T08:01:00.000000000Z,transition,cooldown_elapsed,COOLDOWN,FLAT,,ETHUSDT-1730246460000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730361660000000000,2024-10-31T08:01:00.000000000Z,transition,entry,FLAT,OPENING_SPOT,permanent-00000645,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730361720000000000,2024-10-31T08:02:00.000000000Z,transition,spot_filled_waiting_hedge,OPENING_SPOT,OPENING_PERP,,BTCUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730361720000000000,2024-10-31T08:02:00.000000000Z,transition,spot_filled_waiting_hedge,OPENING_SPOT,OPENING_PERP,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730361780000000000,2024-10-31T08:03:00.000000000Z,transition,opening_complete,OPENING_PERP,HOLDING,,BTCUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730361780000000000,2024-10-31T08:03:00.000000000Z,transition,opening_complete,OPENING_PERP,HOLDING,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730966580000000000,2024-11-07T08:03:00.000000000Z,renewal,,,,,,2024-11-14T08:03:00.000000000Z,,1731571380000000000,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730966580000000000,2024-11-07T08:03:00.000000000Z,renewal,,,,,,2024-11-14T08:03:00.000000000Z,,1731571380000000000,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730966580000000000,2024-11-07T08:03:00.000000000Z,transition,renewal_rebalance,HOLDING,REBALANCING,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730966700000000000,2024-11-07T08:05:00.000000000Z,transition,rebalance_complete,REBALANCING,HOLDING,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1731402000000000000,2024-11-12T09:00:00.000000000Z,close_requested,margin,,,,,,False,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1731402000000000000,2024-11-12T09:00:00.000000000Z,transition,margin,HOLDING,CLOSING_PERP,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1731402060000000000,2024-11-12T09:01:00.000000000Z,transition,perpetual_closed_waiting_spot,CLOSING_PERP,CLOSING_SPOT,,ETHUSDT-1730361660000000000,,,,,run_dfea4b7ac1475668d5968c97
