symbol,market,open_time,end_time,available_at,open,high,low,close,base_volume,quote_volume,trade_count,source_file,open_time_utc,source_partition
ETHUSDT,spot,1679661480000000000,1679661540000000000,1679661540000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:38:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661540000000000,1679661600000000000,1679661600000000000,27990.70,27994.00,27943.10,27945.90,451.384,12624231.87930,4593,BTCUSDT-1m-2023-03.zip,2023-03-24T12:39:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661540000000000,1679661600000000000,1679661600000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:39:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661540000000000,1679661600000000000,1679661600000000000,1773.26,1774.56,1770.00,1770.01,6913.467,12250025.20761,4846,ETHUSDT-1m-2023-03.zip,2023-03-24T12:39:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661540000000000,1679661600000000000,1679661600000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:39:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661600000000000,1679661660000000000,1679661660000000000,27945.90,27970.00,27932.80,27959.30,362.683,10136568.98100,4007,BTCUSDT-1m-2023-03.zip,2023-03-24T12:40:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661600000000000,1679661660000000000,1679661660000000000,1770.00,1772.22,1768.80,1770.84,4017.279,7112569.67713,4299,ETHUSDT-1m-2023-03.zip,2023-03-24T12:40:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661660000000000,1679661720000000000,1679661720000000000,27959.30,27972.90,27930.00,27932.30,254.345,7109499.47000,3162,BTCUSDT-1m-2023-03.zip,2023-03-24T12:41:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661660000000000,1679661720000000000,1679661720000000000,1770.84,1771.60,1770.21,1770.46,1597.369,2828813.23113,2153,ETHUSDT-1m-2023-03.zip,2023-03-24T12:41:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661720000000000,1679661780000000000,1679661780000000000,27932.30,27971.20,27910.00,27970.20,525.051,14670330.40580,4836,BTCUSDT-1m-2023-03.zip,2023-03-24T12:42:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661720000000000,1679661780000000000,1679661780000000000,1770.46,1771.91,1767.38,1771.52,6094.774,10783730.29504,5179,ETHUSDT-1m-2023-03.zip,2023-03-24T12:42:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661780000000000,1679661840000000000,1679661840000000000,27970.10,28010.60,27962.00,28004.00,568.491,15907642.85560,6456,BTCUSDT-1m-2023-03.zip,2023-03-24T12:43:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661780000000000,1679661840000000000,1679661840000000000,1771.52,1772.55,1769.78,1771.84,4378.731,7756021.44116,4111,ETHUSDT-1m-2023-03.zip,2023-03-24T12:43:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661840000000000,1679661900000000000,1679661900000000000,28004.00,28032.00,27976.10,28011.90,599.887,16799161.49460,5793,BTCUSDT-1m-2023-03.zip,2023-03-24T12:44:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661840000000000,1679661900000000000,1679661900000000000,1771.84,1774.21,1770.73,1774.03,4967.104,8803080.15371,4944,ETHUSDT-1m-2023-03.zip,2023-03-24T12:44:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661900000000000,1679661960000000000,1679661960000000000,28011.80,28023.90,27980.60,28015.90,550.710,15421909.95090,6795,BTCUSDT-1m-2023-03.zip,2023-03-24T12:45:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661900000000000,1679661960000000000,1679661960000000000,1774.03,1774.86,1773.28,1774.05,6955.479,12336261.00944,3825,ETHUSDT-1m-2023-03.zip,2023-03-24T12:45:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661960000000000,1679662020000000000,1679662020000000000,28015.80,28038.80,28010.20,28020.00,582.414,16323420.22260,6255,BTCUSDT-1m-2023-03.zip,2023-03-24T12:46:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661960000000000,1679662020000000000,1679662020000000000,1774.05,1775.00,1773.28,1773.95,5264.450,9339804.11850,4510,ETHUSDT-1m-2023-03.zip,2023-03-24T12:46:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679662020000000000,1679662080000000000,1679662080000000000,28020.00,28048.00,28006.20,28029.30,785.909,22028105.67820,7775,BTCUSDT-1m-2023-03.zip,2023-03-24T12:47:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
