scenario,strategy,run_id,period,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,net_pnl_usdt
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,BTCUSDT,2493.604057171400000000000000,-2449.090400000000000000000006,946.6070299632576497722,-101.4549413514,0,13.72115862682556778365190036,3147.646919839940723607891690,-654.042862668540723607891690,-3104.367717647058823529411771,655.2773176470588235294117650,889.6657457832576497721999943
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,ETHUSDT,-74.858514479000000000000000,142.0802300042499999999999961,851.1013783911186355135,-124.608350245,0,16.71090054827368526800282144,1876.101118354236677626545790,-1950.959632833236677626545789,-1812.984097132804566540961536,1955.064327137054566540961534,793.7147436713686355134999975
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,BTCUSDT,4.6279729676999999999999998,38.0036731064799999999999956,352.4483448939401870438,-40.1262116827,0,5.738923465571177065807489318,-363.9824134814506442525524982,368.610386449150644252552498,405.7914999999999999999999950,-367.7878268935200000000000006,354.9537792854201870437999948
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022-2023,ETHUSDT,-850.069363210000000000000000,914.4762837487799999999999940,245.6059095591752966921,-45.718487406,0,6.246606994363084556892533318,-1149.044205563142912697471286,298.9748423531429126974712860,1216.493242139614642763166559,-302.0169583908346427631665633,264.2943426919552966920999952
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,BTCUSDT,2488.976084203700000000000000,-2487.094073106480000000000002,594.1586850693174627284,-61.3287296687,0,7.982235161254390717844411042,3511.629333321391367860444188,-1022.653249117691367860444188,-3510.159217647058823529411766,1023.065144540578823529411765,534.7119664978374627283999995
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2024+,ETHUSDT,775.210848731000000000000001,-772.3960537445299999999999989,605.4954688319433388214,-78.889862839,0,10.46429355391060071111028812,3025.145323917379590324017077,-2249.934475186379590324017075,-3029.477339272419209304128095,2257.081285527889209304128097,529.4204009794133388214000025
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,BTCUSDT,-2786.637330985300000000000000,2792.497759708499999999999996,115.8955500606555643084,-16.1473260413,0,2.388839147407481013046639059,-1305.977442558655680606309121,-1480.659888426644319393690879,1311.835837364672364672364672,1480.661922343827635327635324,105.6086527425555643083999965
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2022,ETHUSDT,-2339.524021016000000000000000,2348.884021328400000000000000,10.5432793496105198271,-14.747035414,0,2.011863524652266169281517309,-1642.189951185925732051081344,-697.334069830074267948918656,1649.122830755905511811023622,699.7611905724944881889763777,5.156244248010519827099999222
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,BTCUSDT,2791.265303953000000000000000,-2754.494086602020000000000000,236.5527948332846227354,-23.9788856414,0,3.350084318163696052760850259,941.9950290772050363537566228,1849.270274875794963646243377,-906.0443373646723646723646770,-1848.449749237347635327635323,249.3451265428646227353999984
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,2023,ETHUSDT,1489.454657806000000000000000,-1434.407737579620000000000005,235.0626302095647768650,-30.971451992,0,4.234743469710818387611016009,493.145745622782819353610058,996.308912183217180646389942,-432.629588616290869047857063,-1001.778148963329130952142941,259.1380984439447768649999959
