scenario,strategy,run_id,period,metric,value_before,value_after,unchanged
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,period,2023,2023,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,start_utc,2023-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,end_exclusive_utc,2024-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,days,365,365,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,coverage_complete,True,True,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,starting_equity_usdt,10000,10000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,final_equity_usdt,10217.44071106276812412970000,10217.44071106276812412970000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,net_pnl_usdt,217.44071106276812412970000,217.44071106276812412970000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,net_return,0.02174407110627681241297,0.02174407110627681241297,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,cagr,0.021744071106276852,0.021744071106276852,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,cagr_reason,,,True
