date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-08-28,permanent,11127.93600165437059024279999,-0.0001370517164798319440702184,-1.52531177650158593760000
2024-08-29,permanent,11128.94329948351023881079999,0.000090519736004043820787464,1.00729782913964856800000
2024-08-30,permanent,11129.36508008424444794559999,0.000037899429387315128295555,0.42178060073420913480000
2024-08-31,permanent,11130.15471967031595118399999,0.000070951000384069170147257,0.78963958607150323840000
2024-09-01,permanent,11130.83776523301446582799999,0.000061368918932579492270091,0.68304556269851464400000
2024-09-02,permanent,11130.55480122685961024799999,-0.0000254216270260167585110836,-0.28296400615485558000000
2024-09-03,permanent,11131.45437319826162900719999,0.000080820047829319694542081,0.89957197140201875920000
2024-09-04,permanent,11132.34089288243754489599999,0.000079640957457493783938163,0.88651968417591588880000
2024-09-05,permanent,11133.37829038597613254799999,0.000093187723365699041169707,1.03739750353858765200000
2024-09-06,permanent,11133.85985188961091768279999,0.000043253852610993080704115,0.48156150363478513480000
2024-09-07,permanent,11134.12008449297099471879999,0.000023373080568811992705054,0.26023260336007703600000
2024-09-08,permanent,11133.78281733903027750879999,-0.0000302913163663867368829359,-0.33726715394071721000000
2024-09-09,permanent,11132.65397419117619558319999,-0.0001013890037531623950592483,-1.12884314785408192560000
2024-09-10,permanent,11131.52022055724475516439999,-0.0001018403730646637058334859,-1.13375363393144041880000
2024-09-11,permanent,11132.61849731509931202359999,0.000098663680799528479906875,1.09827675785455685920000
2024-09-12,permanent,11132.06631229584255611079999,-0.0000496006415193270755967531,-0.55218501925675591280000
2024-09-13,permanent,11132.97750075243655611079999,0.000081852589719803720895496,0.91118845659400000000000
2024-09-14,permanent,11132.19119770006632179159999,-0.0000706282800191674706446095,-0.78630305237023431920000
2024-09-15,permanent,11132.62713463741248231959999,0.000039160029647732424774240,0.43593693734616052800000
2024-09-16,permanent,11132.13708472620210784999999,-0.0000440192512767863666216824,-0.49004991121037446960000
2024-09-17,permanent,11133.28824851523286864599999,0.000103409056164984692838715,1.15116378903076079600000
2024-09-18,permanent,11134.18461414609181124599999,0.000080512209048255306033916,0.89636563085894260000000
2024-09-19,permanent,11134.48477900205395666959999,0.000026958853868902353356396,0.30016485596214542360000
2024-09-20,permanent,11136.22418907067985853759999,0.000156218280697295028600124,1.73941006862590186800000
2024-09-21,permanent,11137.62487691535796789839999,0.000125777626320846998167814,1.40068784467810936080000
2024-09-22,permanent,11138.28878988636323277679999,0.000059609923869975063758809,0.66391297100526487840000
2024-09-23,permanent,11140.14925218606182049679999,0.000167033045631560502510998,1.86046229969858772000000
2024-09-24,permanent,11138.71100927538189137519999,-0.0001291044561541847205633563,-1.43824291067992912160000
2024-09-25,permanent,11140.43518732242401927599999,0.000154791523508095093473081,1.72417804704212790080000
2024-09-26,permanent,11141.60910371684053721199999,0.000105374374939356909568039,1.17391639441651793600000
2024-09-27,permanent,11143.53248187797486482799999,0.000172630195802928385478255,1.92337816113432761600000
2024-09-28,permanent,11145.19395128362381715999999,0.000149097192326660814147338,1.66146940564895233200000
2024-09-29,permanent,11146.32640283061138818799999,0.000101608958259281198883181,1.13245154698757102800000
2024-09-30,permanent,11146.57133536141110659999999,0.000021974283001215338202324,0.24493253079971841200000
2024-10-01,permanent,11149.33495572075608526599999,0.000247934568953742972575704,2.76362035934497866600000
2024-10-02,permanent,11150.16227300578233618399999,0.000074203285515406640540565,0.82731728502625091800000
2024-10-03,permanent,11151.08121991088800406079999,0.000082415563343899624904226,0.91894690510566787680000
2024-10-04,permanent,11151.83028314792472720599999,0.000067174045481726762857188,0.74906323703672314520000
2024-10-05,permanent,11152.35346687783980587099999,0.000046914606538236790222308,0.52318372991507866500000
2024-10-06,permanent,11153.53395247397561581019999,0.000105850805360663762230409,1.18048559613580993920000
2024-10-07,permanent,11153.60901238725056169819999,0.000006729697833420481017888,0.07505991327494588800000
2024-10-08,permanent,11155.48217563792156479519999,0.000167942344813293992274484,1.87316325067100309700000
2024-10-09,permanent,11156.67160943934163399679999,0.000106623253275204299183699,1.18943380142006920160000
2024-10-10,permanent,11158.19617249214045798939999,0.000136650347538143426018121,1.52456305279882399260000
2024-10-11,permanent,11159.07392079898772949819999,0.000078663996696092302170605,0.87774830684727150880000
2024-10-12,permanent,11160.59781301033431128259999,0.000136560813393865516231656,1.52389221134658178440000
2024-10-13,permanent,11160.63558012001625857059999,0.000003383968342441363541122,0.03776710968194728800000
2024-10-14,permanent,11161.63243806862237986139999,0.000089319102075314024933877,0.99685794860612129080000
2024-10-15,permanent,11163.93089739773237986139999,0.000205925015168096591229657,2.29845932911000000000000
2024-10-16,permanent,11165.90977667846669098139999,0.000177256496741266999595008,1.97887928073431112000000
2024-10-17,permanent,11168.06396585218579498139999,0.000192925540041387707451803,2.15418917371910400000000
2024-10-18,permanent,11170.26081938015028398139999,0.000196708537368845270461585,2.19685352796448900000000
2024-10-19,permanent,11171.96832779710638498139999,0.000152862000678946766769487,1.70750841695610100000000
2024-10-20,permanent,11172.02070246977758998139999,0.000004688043425695269665108,0.05237467267120500000000
2024-10-21,permanent,11174.89487001153623998139999,0.000257264788376489777805052,2.87416754175865000000000
